station_id,station_name,month_beginning,year,month,month_total,geo_station_id,line_name,lat,lon,community_area,community,pop_total,median_hh_income,pct_no_vehicle_hh,pct_disabled,pct_65_plus,transportation_need_index_0_100,need_quintile
40030,Pulaski-Lake,2024-01-01,2024,1,21096,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-02-01,2024,2,22280,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-03-01,2024,3,23016,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-04-01,2024,4,24297,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-05-01,2024,5,25981,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-06-01,2024,6,22754,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-07-01,2024,7,21334,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-08-01,2024,8,25004,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-09-01,2024,9,25206,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-10-01,2024,10,27086,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
40030,Pulaski-Lake,2024-11-01,2024,11,23916,30,Green Line (Lake),41.88541197969969,-87.72540376831816,26,WEST GARFIELD PARK,15087.702924854702,35134.80571968107,0.3289362859031886,0.2255979474396192,0.152236072088036,67.53,Very High
